round,forecast_test_mse,imputation_test_mse,round_seconds
1,0.235857,0.301653,1254.5
2,0.208086,0.203388,1271.5
3,0.203132,0.163305,1268.9
4,0.200458,0.154262,1297.0
5,0.198300,0.152843,1255.4
6,0.198880,0.151808,1263.7
7,0.198506,0.151720,1153.6
8,0.196675,0.150646,1103.0
9,0.196336,0.146282,1082.9
10,0.195805,0.146337,1090.2
