round,forecast_test_mse,anomaly_test_mse,round_seconds
1,0.235436,0.209163,1831.5
2,19.341396,0.656048,1723.9
3,0.638342,31.907546,1614.7
4,6380778.454140,nan,1563.9
5,11.225847,nan,1555.4
6,nan,nan,1552.2
7,nan,nan,1536.7
8,nan,nan,1526.5
9,nan,nan,1541.1
10,nan,nan,1528.2
