round,forecast_test_mse,anomaly_test_mse,round_seconds
1,0.226137,0.202883,3854.6
2,0.231520,0.180280,3882.2
3,0.235182,0.169410,4079.7
4,0.236497,0.162986,3759.2
5,0.238094,0.163615,3753.7
6,0.240402,0.168514,3572.5
7,0.240661,0.174981,3772.3
8,0.241323,0.182893,3882.8
9,0.242009,0.190622,3997.7
10,0.242994,0.199600,3505.2
