round,anomaly_test_mse,imputation_test_mse,round_seconds
1,0.186499,0.272440,1445.0
2,0.140624,0.160949,6626.5
3,0.125546,0.127564,6645.7
4,0.125361,0.109423,6491.1
5,0.127447,0.102871,6150.3
6,0.126524,0.094695,6644.7
7,0.124704,0.090967,6897.7
8,0.122894,0.089245,6655.0
9,0.121646,0.086006,3409.3
10,0.120110,0.087830,1182.1
