round,imputation_test_mse,round_seconds
1,0.258867,538.4
2,0.154351,538.7
3,0.118089,538.6
4,0.108996,539.1
5,0.109437,538.6
6,0.108451,539.4
7,0.104543,539.4
8,0.100391,540.1
9,0.098575,539.1
10,0.097257,540.0
