round,forecast_test_mse,anomaly_test_mse,round_seconds
1,0.301101,0.318842,2004.7
2,0.344390,1.521462,1952.0
3,11.071074,1.160997,1773.9
4,11.609442,75.887955,1800.9
5,4147584.931330,1621.416375,1900.7
6,7773.785195,11810.525630,1877.7
7,nan,nan,1804.9
8,nan,nan,1828.7
9,nan,nan,1771.8
10,nan,nan,1859.9
